task_name,sub_task,matched_skill,start_date,end_date
งานสำรวจพื้นที่สนามบิน,การสำรวจพื้นที่รอบสนามบิน,เซอร์เวย์,2024-01-01,2024-09-30
งานสำรวจพื้นที่สนามบิน,การทำแผนที่ภูมิประเทศ,เซอร์เวย์,2024-01-01,2024-09-30
งานสำรวจพื้นที่สนามบิน,การเก็บตัวอย่างดิน,โยธาชาย,2024-01-01,2024-06-30
งานสำรวจโครงสร้างดิน,การเก็บตัวอย่างดินฐานราก,โยธาชาย,2024-01-01,2024-06-30
งานสำรวจโครงสร้างดิน,การวิเคราะห์ความแข็งแรงดิน,โยธาชาย,2024-07-01,2025-03-31
งานสำรวจโครงสร้างดิน,การทำแผนที่โครงสร้างดิน,เซอร์เวย์,2024-07-01,2025-03-31
งานก่อสร้างรันเวย์,การปรับระดับพื้นรันเวย์,กรรมกรโครงสร้าง,2024-07-01,2026-12-31
งานก่อสร้างรันเวย์,การทำถนนแอสฟัลต์รันเวย์,กรรมกรโครงสร้าง,2025-01-01,2028-12-31
งานก่อสร้างรันเวย์,การติดตั้งระบบระบายน้ำรันเวย์,งานระบบ,2026-01-01,2027-12-31
งานก่อสร้างรันเวย์,การทำเครื่องหมายรันเวย์,ช่างสี,2028-01-01,2028-12-31
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การก่อสร้างฐานคอนกรีตอาคาร,ช่างปูน,2024-07-01,2026-12-31
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การติดตั้งโครงเหล็กอาคาร,ช่างเหล็ก,2025-01-01,2027-12-31
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การเทคอนกรีตผนัง,ช่างปูน,2026-01-01,2028-06-30
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การตรวจสอบความแข็งแรงโครงสร้าง,โยธาชาย,2028-07-01,2029-03-31
งานก่อสร้างที่จอดเครื่องบิน,การก่อสร้างฐานที่จอดเครื่องบิน,ช่างปูน,2025-01-01,2027-12-31
งานก่อสร้างที่จอดเครื่องบิน,การ铺พื้นคอนกรีตที่จอดเครื่องบิน,ช่างปูน,2026-01-01,2028-06-30
งานก่อสร้างที่จอดเครื่องบิน,การทำเครื่องหมายที่จอดเครื่องบิน,ช่างสี,2028-07-01,2029-03-31
งานก่อสร้างหอควบคุมจราจร,การก่อสร้างฐานหอควบคุม,ช่างปูน,2025-01-01,2027-06-30
งานก่อสร้างหอควบคุมจราจร,การติดตั้งโครงสร้างหอควบคุม,โครงสร้าง,2026-01-01,2028-06-30
งานก่อสร้างหอควบคุมจราจร,การทาสีหอควบคุม,ช่างสี,2028-07-01,2029-03-31
งานก่อสร้างรั้วรอบสนามบิน,การก่อสร้างรั้วคอนกรีต,ช่างปูน,2025-01-01,2027-12-31
งานก่อสร้างรั้วรอบสนามบิน,การติดตั้งลวดหนามบนรั้ว,กรรมกร,2027-01-01,2027-12-31
งานก่อสร้างรั้วรอบสนามบิน,การทาสีรั้วรอบสนามบิน,ช่างสี,2028-01-01,2028-12-31
งานก่อสร้างรั้วรอบสนามบิน,การตรวจสอบความแข็งแรงรั้ว,โยธาชาย,2028-01-01,2028-06-30
งานก่อสร้างทางเชื่อมอาคาร,การก่อสร้างทางเชื่อมคอนกรีต,ช่างปูน,2026-01-01,2028-06-30
งานก่อสร้างทางเชื่อมอาคาร,การติดตั้งราวกันตก,งานเหล็กราวบันได,2028-01-01,2028-12-31
งานก่อสร้างทางเชื่อมอาคาร,การทาสีทางเชื่อม,ช่างสี,2028-07-01,2029-03-31
งานติดตั้งระบบไฟฟ้า,การเดินสายไฟหลัก,ช่างไฟฟ้า,2025-01-01,2027-12-31
งานติดตั้งระบบไฟฟ้า,การติดตั้งตู้ควบคุมไฟฟ้า,ช่างไฟฟ้า,2026-01-01,2027-12-31
งานติดตั้งระบบไฟฟ้า,การติดตั้งสวิตช์ไฟ,ช่างไฟฟ้า,2027-01-01,2028-06-30
งานติดตั้งระบบไฟฟ้า,การทดสอบระบบไฟฟ้า,ช่างไฟฟ้า,2028-07-01,2029-03-31
งานติดตั้งระบบไฟส่องสว่างรันเวย์,การเดินสายไฟสำหรับไฟรันเวย์,ช่างไฟฟ้า,2026-01-01,2027-12-31
