productivity_id,task_id,subtask_id,total_workhours,unit_completed,estimated_rate,actual_rate,task_productivity_factor,subtask_productivity_factor,record_date,day_do
1450,AIR001,SUB001,6.5,2.25,0.09,0.35,3.91,4.06,2025-08-08,0.81
1451,AIR001,SUB002,7.0,1.5,0.09,0.21,2.38,2.38,2025-08-08,0.88
1453,AIR049,SUB005,11.5,2.27,0.08,0.2,2.47,2.47,2025-08-08,1.44
1454,AIR002,SUB006,6.0,1.8,0.05,0.3,5.84,5.6,2025-08-08,0.75
1455,AIR006,SUB009,7.0,9.0,0.08,1.29,15.23,15.77,2025-08-08,0.88
1456,AIR027,SUB010,11.5,2.16,0.08,0.19,2.35,2.35,2025-08-08,1.44
1457,AIR006,SUB011,7.5,2.79,0.08,0.37,4.65,4.65,2025-08-08,0.94
1459,AIR038,SUB013,10.5,3.44,0.08,0.33,4.09,4.09,2025-08-08,1.31
1460,AIR011,SUB014,6.5,2.4,0.08,0.37,4.61,4.43,2025-08-08,0.81
1463,AIR050,SUB017,5.0,1.5,0.08,0.3,1.57,3.6,2025-08-08,0.62
1467,AIR047,SUB021,14.5,6.0,0.09,0.41,4.63,4.63,2025-08-08,1.81
1468,AIR004,SUB022,6.5,5.4,0.1,0.83,8.83,8.49,2025-08-08,0.81
1472,AIR048,SUB024,12.5,3.72,0.08,0.3,3.72,3.72,2025-08-08,1.56
1473,AIR003,SUB025,8.0,7.5,0.09,0.94,10.84,10.5,2025-08-08,1.0
1475,AIR028,SUB028,10.5,2.22,0.09,0.21,2.35,2.35,2025-08-08,1.31
1477,AIR029,SUB029,14.5,12.0,0.09,0.83,9.27,9.27,2025-08-08,1.81
1478,AIR030,SUB030,12.5,6.0,0.08,0.48,6.14,6.14,2025-08-08,1.56
1480,AIR043,SUB031,14.5,3.6,0.09,0.25,1.67,2.78,2025-08-08,1.81
1484,AIR046,SUB034,10.5,1.44,0.08,0.14,1.71,1.71,2025-08-08,1.31
1485,AIR008,SUB035,6.0,1.25,0.07,0.21,2.98,2.98,2025-08-08,0.75
1488,AIR042,SUB037,10.5,3.0,0.1,0.29,1.62,2.92,2025-08-08,1.31
1490,AIR010,SUB040,7.0,1.73,0.08,0.25,3.1,3.1,2025-08-08,0.88
1492,AIR041,SUB041,11.5,6.0,0.09,0.52,5.84,5.84,2025-08-08,1.44
1493,AIR012,SUB043,5.5,2.82,0.09,0.51,5.69,5.69,2025-08-08,0.69
1494,AIR012,SUB044,6.0,1.63,0.09,0.27,3.02,3.02,2025-08-08,0.75
1495,AIR013,SUB046,7.0,6.0,0.09,0.86,9.27,9.6,2025-08-08,0.88
1496,AIR013,SUB047,7.5,3.12,0.09,0.42,4.62,4.62,2025-08-08,0.94
1498,AIR033,SUB049,10.5,4.8,0.08,0.46,5.49,5.49,2025-08-08,1.31
1499,AIR014,SUB050,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1500,AIR015,SUB052,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1501,AIR015,SUB053,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1502,AIR016,SUB055,0.0,0.0,0.09,0.0,NaN,NaN,2025-08-08,0.0
1503,AIR016,SUB056,0.0,0.0,0.09,0.0,NaN,NaN,2025-08-08,0.0
1504,AIR017,SUB058,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1505,AIR017,SUB059,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1506,AIR018,SUB061,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1507,AIR018,SUB062,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1509,AIR045,SUB064,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1510,AIR019,SUB065,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1513,AIR040,SUB067,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1514,AIR021,SUB068,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1516,AIR039,SUB070,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1517,AIR022,SUB071,0.0,0.0,0.09,0.0,NaN,NaN,2025-08-08,0.0
1518,AIR023,SUB073,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1519,AIR023,SUB074,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1520,AIR024,SUB076,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1521,AIR024,SUB077,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1522,AIR025,SUB079,0.0,0.0,0.09,0.0,NaN,NaN,2025-08-08,0.0
1523,AIR025,SUB080,0.0,0.0,0.09,0.0,NaN,NaN,2025-08-08,0.0
1524,AIR026,SUB083,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
1525,AIR026,SUB084,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
2074,AIR050,SUB018,0.0,0.0,0.08,0.0,NaN,NaN,2025-08-08,0.0
2076,AIR020,SUB020,0.0,0.0,0.05,0.0,NaN,NaN,2025-08-08,0.0
2093,AIR043,SUB032,0.0,0.0,0.09,0.0,NaN,NaN,2025-08-08,0.0
2102,AIR042,SUB038,0.0,0.0,0.1,0.0,NaN,NaN,2025-08-08,0.0
2120,AIR031,SUB060,0.0,0.0,0.09,0.0,NaN,NaN,2025-08-08,0.0
