project_name,task_name,sub_task,sub_task_type,start_date,end_date
การขยายสนามบินสุวรรณภูมิ,งานตกแต่งภายในอาคารผู้โดยสารสนามบิน,การติดตั้งผนังตกแต่งภายใน,การตกแต่ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานตกแต่งภายในอาคารผู้โดยสารสนามบิน,การทาสีผนังภายใน,การทาสี,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานตกแต่งภายในอาคารผู้โดยสารสนามบิน,การติดตั้งพื้นลามิเนต,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานตกแต่งภายในอาคารผู้โดยสารสนามบิน,การติดตั้งฝ้าเพดาน,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไฟฟ้า,การเดินสายไฟหลัก,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไฟฟ้า,การติดตั้งตู้ควบคุมไฟฟ้า,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไฟฟ้า,การทดสอบระบบไฟฟ้า,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไฟฟ้า,การติดตั้งสวิตช์ไฟ,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างรันเวย์,การทำถนนแอสฟัลต์รันเวย์,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างรันเวย์,การทำเครื่องหมายรันเวย์,การทาสี,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างรันเวย์,การติดตั้งระบบระบายน้ำรันเวย์,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างรันเวย์,การปรับระดับพื้นรันเวย์,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทาสีอาคารผู้โดยสาร,การทาสีผนังภายนอกอาคารผู้โดยสาร,การทาสี,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทาสีอาคารผู้โดยสาร,การเคลือบผนังป้องกันรอยขีดข่วน,การตกแต่ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทาสีอาคารผู้โดยสาร,การทำความสะอาดพื้นผิวก่อนทาสี,การทำความสะอาด,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทาสีอาคารผู้โดยสาร,การติดตั้งสีป้องกันการลื่น,การทาสี,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทำความสะอาดพื้นที่ก่อสร้าง,การทำความสะอาดเศษวัสดุก่อสร้าง,การทำความสะอาด,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทำความสะอาดพื้นที่ก่อสร้าง,การเก็บกวาดพื้นที่ก่อสร้าง,การทำความสะอาด,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทำความสะอาดพื้นที่ก่อสร้าง,การกำจัดฝุ่นจากงานก่อสร้าง,การทำความสะอาด,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานทำความสะอาดพื้นที่ก่อสร้าง,การล้างพื้นผิวคอนกรีต,การทำความสะอาด,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบปรับอากาศ,การติดตั้งระบบระบายความร้อน,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบปรับอากาศ,การทดสอบระบบปรับอากาศ,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบปรับอากาศ,การติดตั้งท่อลมเย็น,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การก่อสร้างฐานคอนกรีตอาคาร,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การติดตั้งโครงเหล็กอาคาร,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การเทคอนกรีตผนัง,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การตรวจสอบความแข็งแรงโครงสร้าง,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบรักษาความปลอดภัย,การติดตั้งกล้องวงจรปิด,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบรักษาความปลอดภัย,การตั้งค่าระบบรักษาความปลอดภัย,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบรักษาความปลอดภัย,การทดสอบระบบแจ้งเตือน,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไฟส่องสว่างรันเวย์,การติดตั้งไฟส่องสว่างรันเวย์,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไฟส่องสว่างรันเวย์,การทดสอบระบบไฟรันเวย์,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบไฟส่องสว่างรันเวย์,การเดินสายไฟสำหรับไฟรันเวย์,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานสำรวจพื้นที่สนามบิน,การสำรวจพื้นที่รอบสนามบิน,การสำรวจ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานสำรวจพื้นที่สนามบิน,การทำแผนที่ภูมิประเทศ,การสำรวจ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานสำรวจพื้นที่สนามบิน,การเก็บตัวอย่างดิน,การสำรวจ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานจัดการจราจรทางอากาศ,การตั้งค่าระบบควบคุมจราจร,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานจัดการจราจรทางอากาศ,การทดสอบระบบจราจรทางอากาศ,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานจัดการจราจรทางอากาศ,การติดตั้งจอแสดงผลจราจร,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบลำเลียงสัมภาระ,การติดตั้งสายพานลำเลียง,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบลำเลียงสัมภาระ,การทดสอบระบบลำเลียงสัมภาระ,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบลำเลียงสัมภาระ,การบำรุงรักษาสายพาน,การบำรุงรักษา,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบประปา,การติดตั้งท่อประปาหลัก,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบประปา,การทดสอบระบบประปา,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งระบบประปา,การติดตั้งวาล์วควบคุมน้ำ,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างที่จอดเครื่องบิน,การก่อสร้างฐานที่จอดเครื่องบิน,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างที่จอดเครื่องบิน,การ铺พื้นคอนกรีตที่จอดเครื่องบิน,การก่อสร้าง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานก่อสร้างที่จอดเครื่องบิน,การทำเครื่องหมายที่จอดเครื่องบิน,การทาสี,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งป้ายบอกทางในสนามบิน,การติดตั้งป้ายบอกทาง,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งป้ายบอกทางในสนามบิน,การทาสีป้ายบอกทาง,การทาสี,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานติดตั้งป้ายบอกทางในสนามบิน,การตรวจสอบป้ายบอกทาง,การตรวจสอบ,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานจัดสวนบริเวณสนามบิน,การปลูกต้นไม้รอบสนามบิน,การจัดสวน,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานจัดสวนบริเวณสนามบิน,การตัดแต่งพุ่มไม้,การจัดสวน,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานจัดสวนบริเวณสนามบิน,การติดตั้งระบบรดน้ำอัตโนมัติ,การติดตั้ง,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานบริหารจัดการความปลอดภัย,การฝึกอบรมความปลอดภัย,ความปลอดภัย,2024-06-01,2033-12-31
การขยายสนามบินสุวรรณภูมิ,งานบริหารจัดการความปลอดภัย,การตรวจสอบอุปกรณ์ความปลอดภัย,การตรวจสอบ,2024-06-01,2033-12-31
